CellCharter_12,wound_healing,vascular_repair,immunity_recruitment,inflammation_resolution,fibrosis_matrix,neuroimmune,pain_sensory,neuropeptides,neurogenic_inflammation
0,0.024702403844840595,0.020874072318657705,-0.0017537893990193173,-0.004712441808865233,0.09318718537452082,0.0002964664795319111,-0.0014949081732756899,-0.0001045832420697783,-0.011205155599857207
1,0.02479336933481616,-0.011787257428633192,-0.017864619731666073,-0.007351653975446037,-0.0038105777372432455,-0.006419756033972213,-0.0004843463072604856,-0.0011125084014745304,-0.01578602036971682
10,0.025358263047546202,-0.008776198973205487,-0.018792600352725234,-0.011277566443364128,0.034776595750479214,-0.009269841982013008,-0.0013614933841050098,-0.001533890566606127,-0.01633907974011858
11,0.0414269945604734,-0.012875061470362817,-0.017693631663529507,0.0016896071856797037,-0.014565811809887993,-0.004168872697989074,-0.002300170616982036,0.00011745151391698744,-0.018500115052547457
2,0.022658080582446526,-0.014588396376037758,0.017587504855298808,0.005323917081046623,0.10966674617038845,6.074103281852637e-05,7.215924739791095e-05,-0.0007570943764235537,-0.005624922728209218
3,-0.005018717358658563,-0.009937038158028691,0.06889440734495501,0.06107761834231693,-0.013211181088906869,-0.0024977092158235425,-0.0016258096888146381,-0.00025723069560940867,0.016518124259908906
4,0.0073670346108207375,-0.004617671404553108,0.04439970724421133,0.04103681937996975,0.0030739399114326368,0.0006137960075277614,-0.0012450270311406195,-7.170262215125949e-05,0.00471302680780425
5,0.06033559488494314,-0.019670270100933425,-0.02316156463688156,-0.009563126336608118,-0.02859494336931815,-0.005421493179396797,-0.00383435458180922,-0.0006873338401455046,-0.021531364040751826
6,0.012592153221187247,0.006899200983187633,-0.000594945822999101,-0.0036488934907722144,0.11821762348206037,-5.058055766527417e-06,-0.0003853634144208193,-0.00045312699118175585,-0.008078948353210392
7,0.01825644918549664,-0.016910425858017736,-0.018119089799939033,-0.00863489459575997,-0.026966788945869895,-0.0075985307096057475,-0.00457737836022566,-0.0007673540819916219,-0.015588826364488023
8,0.018184554227625584,0.0004912517280574272,-0.0047620433540727525,-0.0009876822962510505,0.04487550609392918,-0.0013050630364628097,-0.0008949566994222103,-0.0007520785117824466,-0.007964135862093049
9,0.008854028574331563,-0.006035599221610729,0.00566565649886706,-0.0029691789831765626,0.10325350704115721,0.005198208942538099,-0.0007260214022931073,-0.0006921727845466438,-0.00964148870195387
