,comparison,gene,logfoldchange,pval,pval_adj
0,cre_24h_vs_litt_24h,Hspa5,0.863475,6.9224252847121646e-18,3.4653660975269097e-14
1,cre_24h_vs_litt_24h,Atf4,0.6385735,3.808082753594466e-16,9.531631132246948e-13
2,cre_24h_vs_litt_24h,Itgb1,0.46685013,6.619449679639338e-15,8.284241274068633e-12
3,cre_24h_vs_litt_24h,Il33,0.7888872,3.2914655136528775e-13,3.0264188978392966e-10
4,cre_24h_vs_litt_24h,Ezr,0.5824857,3.6273498575780623e-13,3.0264188978392966e-10
5,cre_24h_vs_litt_24h,Aqp3,0.8450904,5.7103016033642204e-12,3.1761966473823655e-09
6,cre_24h_vs_litt_24h,Slc16a3,0.48550928,4.489769848813157e-10,1.987529539957512e-07
7,cre_24h_vs_litt_24h,Cryab,1.2097372,4.764353671492238e-10,1.987529539957512e-07
8,cre_24h_vs_litt_24h,Msn,0.32535395,4.716858297781553e-09,1.5741728425796304e-06
9,cre_24h_vs_litt_24h,Aldoa,0.41736484,2.98209882566611e-08,9.33024170080284e-06
10,cre_24h_vs_litt_24h,Cd44,0.5493919,1.8653792494691765e-07,5.1878269571348324e-05
11,cre_24h_vs_litt_24h,Rab5a,0.78779393,1.0514674116848228e-06,0.00027703399278390645
12,cre_24h_vs_litt_24h,Odc1,0.57175374,1.1854219795935589e-06,0.0002967111214922678
13,cre_24h_vs_litt_24h,Fosl1,1.3616844,2.6971259374888434e-06,0.0006137187474122342
14,cre_24h_vs_litt_24h,Pfkp,0.5472785,5.056175081818263e-06,0.0011004874982427056
15,cre_24h_vs_litt_24h,Ccl2,0.76669085,7.378493321517795e-06,0.0014774695027007234
16,cre_24h_vs_litt_24h,Sdc1,0.28469533,8.721913575108367e-06,0.001679303821422788
17,cre_24h_vs_litt_24h,Myh4,0.8423331,1.657244723857457e-05,0.0030726544769001593
18,cre_24h_vs_litt_24h,Serpine1,0.5939448,4.024330435004267e-05,0.006946826950907366
19,cre_24h_vs_litt_24h,Ctnna1,0.42767942,5.1816997244113385e-05,0.008646529606801054
20,cre_24h_vs_litt_24h,Flnb,0.48267505,5.4292218655525545e-05,0.00876731763192132
21,cre_24h_vs_litt_24h,Actn2,1.1443392,7.63559616942059e-05,0.011355517688473388
22,cre_24h_vs_litt_24h,Vegfa,0.8617827,7.712497031723836e-05,0.011355517688473388
23,cre_24h_vs_litt_24h,Enah,0.61641514,0.00025942297444424495,0.03509922729913217
24,cre_24h_vs_litt_24h,P4hb,0.19172448,0.0003394535661513866,0.04471854084615372
25,cre_24h_vs_litt_24h,Socs3,0.4343915,0.00042752047057218655,0.054876089120111944
26,cre_24h_vs_litt_24h,Ccl7,0.6437454,0.0007230043264861613,0.08617522996166009
27,cre_24h_vs_litt_24h,Il13ra1,0.40917426,0.0010276787262599655,0.11498307620929511
28,cre_24h_vs_litt_24h,Adm,1.1431559,0.0018592189005163587,0.1824950944310763
29,cre_24h_vs_litt_24h,Tgfa,1.2315968,0.002657660710307523,0.24189544574180835
30,cre_24h_vs_litt_24h,Klhl41,1.6080873,0.0029236275740234688,0.2567663093958155
31,cre_24h_vs_litt_24h,Map1lc3a,0.502321,0.003564164434760147,0.30241029085439486
32,cre_24h_vs_litt_24h,Hk2,0.8459158,0.004409031211128841,0.3559937135953384
33,cre_24h_vs_litt_24h,Slc16a1,0.51777095,0.00477951113467951,0.37978147206675594
34,cre_24h_vs_litt_24h,Itgb4,-0.010385081,0.006820723577062826,0.4983861327021671
35,cre_24h_vs_litt_24h,Pfkl,0.5827926,0.006848673308979747,0.4983861327021671
36,cre_24h_vs_litt_24h,Ndel1,0.39564708,0.006869485248991117,0.4983861327021671
