,gene,comparison,log2fc,pval,padj,mean_logCPM_case,mean_logCPM_ctrl,n_case_samples,n_ctrl_samples,mode
0,Kcnab2,cre_24h_vs_litt_24h,-1.6666995437982917,0.0009106357320921149,0.9972285887415033,3.430671402570392,5.097370946368684,3,3,pseudobulk_mean
1,Cth,cre_24h_vs_litt_24h,1.33818406505332,0.0010692437431724146,0.9972285887415033,6.716119183099637,5.377935118046317,3,3,pseudobulk_mean
2,Prkd3,cre_24h_vs_litt_24h,-0.5450110955324048,0.003964214217493948,0.9972285887415033,6.94009601166966,7.485107107202065,3,3,pseudobulk_mean
3,Strn3,cre_24h_vs_litt_24h,-0.705748194943336,0.004716541798627196,0.9972285887415033,6.73410670591947,7.439854900862806,3,3,pseudobulk_mean
4,Igll1,cre_24h_vs_litt_24h,2.071938432770038,0.004756483529428378,0.9972285887415033,3.918485650831235,1.8465472180611975,3,3,pseudobulk_mean
5,Polb,cre_24h_vs_litt_24h,-0.781471530222265,0.00510619949592606,0.9972285887415033,5.591328974051002,6.372800504273267,3,3,pseudobulk_mean
6,Ero1lb,cre_24h_vs_litt_24h,-0.920173715347218,0.005838500708659363,0.9972285887415033,4.735253268043519,5.655426983390737,3,3,pseudobulk_mean
7,Polk,cre_24h_vs_litt_24h,-0.5403766464972986,0.008942475091669065,0.9972285887415033,5.6274925264289,6.167869172926198,3,3,pseudobulk_mean
8,Ldlr,cre_24h_vs_litt_24h,0.7357593885236264,0.009298337646848173,0.9972285887415033,8.637360853061486,7.901601464537859,3,3,pseudobulk_mean
9,Ptpn23,cre_24h_vs_litt_24h,0.29816257511488153,0.010056034691354182,0.9972285887415033,9.068929631869079,8.770767056754197,3,3,pseudobulk_mean
10,Rad50,cre_24h_vs_litt_24h,-0.8710489153707472,0.010778007308662784,0.9972285887415033,5.694483952981652,6.565532868352399,3,3,pseudobulk_mean
11,Cdx2,cre_24h_vs_litt_24h,1.5529559722819828,0.011197007668420661,0.9972285887415033,3.919947771748768,2.3669917994667853,3,3,pseudobulk_mean
12,Fli1,cre_24h_vs_litt_24h,-0.9066366608259901,0.011409533111947317,0.9972285887415033,6.420365051156874,7.327001711982864,3,3,pseudobulk_mean
13,Borcs8,cre_24h_vs_litt_24h,-0.758815624194356,0.014286340949852292,0.9972285887415033,5.531157801313021,6.289973425507377,3,3,pseudobulk_mean
