timepoint,genotype,theme,resolution,n_samples,mean,sem
24h,litt,wound_healing,whole,3,0.01692851986361679,0.0016937174338833914
24h,cre,wound_healing,whole,3,0.02693732154820033,0.0026414013097140207
24h,wt,wound_healing,whole,2,0.02895162899210555,0.007162265549681898
24h,litt,wound_healing,comp,3,0.039357315753423015,0.0063383284092290515
24h,cre,wound_healing,comp,3,0.05010048418554172,0.0032787574232800757
24h,wt,wound_healing,comp,2,0.04728446882189503,0.007779381886595229
24h,litt,vascular_repair,whole,3,-0.0066478900711394034,0.0007646573213748467
24h,cre,vascular_repair,whole,3,-0.0060688987282378655,0.0008766648025517143
24h,wt,vascular_repair,whole,2,-0.007710052874939887,0.000944138650531394
24h,litt,vascular_repair,comp,3,0.026081283371602093,0.0006927459891889787
24h,cre,vascular_repair,comp,3,0.022658288304633428,0.0032561887412719146
24h,wt,vascular_repair,comp,2,0.02679074862849435,0.0005474505386696155
24h,litt,immunity_recruitment,whole,3,0.011867293757159067,0.007632915840457814
24h,cre,immunity_recruitment,whole,3,0.012735202534627477,0.01472530661060792
24h,wt,immunity_recruitment,whole,2,-0.006339577127474898,0.0017836280660325913
24h,litt,immunity_recruitment,comp,3,0.044448017903535086,0.00846605979143438
24h,cre,immunity_recruitment,comp,3,0.04227493764561835,0.01836259609206825
24h,wt,immunity_recruitment,comp,2,0.021275262747989458,0.00878787340266761
24h,litt,inflammation_resolution,whole,3,0.012337398834270152,0.009112022234334802
24h,cre,inflammation_resolution,whole,3,0.008221536731414803,0.009722521172614188
24h,wt,inflammation_resolution,whole,2,-0.0022666934991403816,0.001698272370462352
24h,litt,inflammation_resolution,comp,3,0.03716009810066948,0.01513916273623402
24h,cre,inflammation_resolution,comp,3,0.021843258899020196,0.012627508113996423
24h,wt,inflammation_resolution,comp,2,0.008750400256505319,0.00407129591538884
24h,litt,fibrosis_matrix,whole,3,0.018686340229577558,0.003580381375726324
24h,cre,fibrosis_matrix,whole,3,0.01151260670712837,0.00857435261984917
24h,wt,fibrosis_matrix,whole,2,0.024639888724956212,0.012027188423720038
24h,litt,fibrosis_matrix,comp,3,0.1730177961815352,0.00797292059395331
24h,cre,fibrosis_matrix,comp,3,0.1436223271799607,0.017638375954959942
24h,wt,fibrosis_matrix,comp,2,0.16112660044009286,0.027179337228527178
24h,litt,neuroimmune,whole,3,-0.002539704053283732,0.0009575015920755837
24h,cre,neuroimmune,whole,3,-0.0006682717079622569,0.0010777885849839123
24h,wt,neuroimmune,whole,2,-0.0001470665611880889,0.0006627086921533519
24h,litt,neuroimmune,comp,3,-0.0025421679999198493,0.0012672570115887895
24h,cre,neuroimmune,comp,3,-0.0017428115530087763,0.0005596106757408685
24h,wt,neuroimmune,comp,2,-0.0032054745086676035,0.0014759021608166793
24h,litt,pain_sensory,whole,3,-0.0018672978409047664,0.00033666798640770055
24h,cre,pain_sensory,whole,3,-0.001528970987462943,0.0001344234529822444
24h,wt,pain_sensory,whole,2,-0.0009501217935314999,0.00020502480448629282
24h,litt,pain_sensory,comp,3,-0.0018672978409047664,0.00033666798640770055
24h,cre,pain_sensory,comp,3,-0.001528970987462943,0.0001344234529822444
24h,wt,pain_sensory,comp,2,-0.0009501217935314999,0.00020502480448629282
24h,litt,neuropeptides,whole,3,-0.0006913441702155266,9.50885291070455e-05
24h,cre,neuropeptides,whole,3,-0.00018998071612333952,0.00016257805128859
24h,wt,neuropeptides,whole,2,-0.0007949730809174455,4.014989091602971e-05
24h,litt,neuropeptides,comp,3,-0.0006913441702155266,9.50885291070455e-05
24h,cre,neuropeptides,comp,3,-0.00018998071612333952,0.00016257805128859
24h,wt,neuropeptides,comp,2,-0.0007949730809174455,4.014989091602971e-05
24h,litt,neurogenic_inflammation,whole,3,-0.004083518520417987,0.0032530692948262423
24h,cre,neurogenic_inflammation,whole,3,0.0012729633906968373,0.0064087840878460384
24h,wt,neurogenic_inflammation,whole,2,-0.010775809659799636,0.0009360779269592745
24h,litt,neurogenic_inflammation,comp,3,0.006094641537556213,0.002850890296825286
24h,cre,neurogenic_inflammation,comp,3,0.015315395437612248,0.0068499006879323265
